person,name,year
https://data.muziekschatten.nl/som/02398e64d7992454b9018ba9b4a2c6a2,MELODY GARDOT,1985
https://data.muziekschatten.nl/som/023bb91d96cc7096d1fde2fbfb7bac6e,BOENIN,1924
https://data.muziekschatten.nl/som/023bb91d96cc7096d1fde2fbfb7bac6e,REVOL' BUNIN,1924
https://data.muziekschatten.nl/som/023db4d44d7fa42e99acabc92bb1096c,ALICE SAUVREZIS,1866
https://data.muziekschatten.nl/som/023f6d084eddc62212ec9c11daf8c9c4,GASPER JEREB,1985
https://data.muziekschatten.nl/som/0243d67863d52c7b07477335b1b28d39,KUBILJUNAS,1939
https://data.muziekschatten.nl/som/0243d67863d52c7b07477335b1b28d39,ALGIMANTAS-ANTANAS KUBILIUNAS,1939
https://data.muziekschatten.nl/som/024526feb673680e5d881924de14a7e4,GUNNAR REISS-ANDERSEN,1896
https://data.muziekschatten.nl/som/0245a4cbbb33b218255b199674265d01,TAEGGIO,1501
https://data.muziekschatten.nl/som/0245a4cbbb33b218255b199674265d01,TAEGGIO,15..
